group_count,group_id,id,type,num_standards_in_group,num_deviants_in_group,accumulated_payoff,mean_value,tolerance,deviant_mean_tolerance,num_groups
5,2,14,0,4,1,0.515928,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,0.968518,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,1.536559,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,2.107733,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,2.589854,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,3.055999,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,3.523418,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,3.914339,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,4.367269,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,4.830781,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,5.261294,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,5.727717,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,6.249732,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,6.771079,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,7.215620,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,7.702581,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,8.154626,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,8.681996,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,9.122709,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,9.638485,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,10.136328,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,10.704964,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,11.289569,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,11.790959,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,12.271697,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,12.764980,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,13.192780,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,13.625549,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,14.004385,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,14.576245,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,15.093820,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,15.588939,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,16.094263,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,16.473531,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,16.980792,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,17.493117,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,18.055693,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,18.510609,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,19.034106,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,19.492587,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,19.999776,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,20.493051,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,21.081491,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,21.519405,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,21.979808,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,22.474652,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,22.957982,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,23.422502,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,23.930089,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,24.350146,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,24.772801,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,25.195099,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,25.639370,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,26.205869,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,26.684091,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,27.175323,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,27.749148,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,28.302332,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,28.779882,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,29.239085,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,29.745776,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,30.237363,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,30.823991,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,31.285837,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,31.823810,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,32.315652,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,32.759267,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,33.211546,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,33.742501,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,34.269862,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,34.688411,0.903380,0.653700,0.250000,13
5,2,14,0,4,1,35.213481,0.903380,0.653700,0.250000,13
