# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 3.0
# agent_std_effort: 0.01
# divorce_constant: 100.0
# agent_tolerance_alpha: 3.0
# agent_tolerance_beta: 5.0
# currseed: 1
group_id,id,accumulated_payoff,mean_value,tolerance,strikes,step_grade,loafing_detected,grade_mean_index,grade_tolerance
3,7,68.61464354918677,0.7780098674565764,0.47338589133594555,0,D+,false,8,4
3,7,136.87074204489596,0.7780098674565764,0.47338589133594555,0,D+,false,8,4
3,7,207.138719904409,0.7780098674565764,0.47338589133594555,0,C-,false,8,4
3,7,274.3167713037029,0.7780098674565764,0.47338589133594555,0,D+,false,8,4
3,7,343.1152519917346,0.7780098674565764,0.47338589133594555,0,D+,false,8,4
3,7,408.46201447652555,0.7780098674565764,0.47338589133594555,0,D,false,8,4
3,7,483.321154071013,0.7780098674565764,0.47338589133594555,0,C,false,8,4
3,7,557.2054238463621,0.7780098674565764,0.47338589133594555,0,C,false,8,4
3,7,628.9501782714167,0.7780098674565764,0.47338589133594555,0,C-,false,8,4
3,7,693.0755604180051,0.7780098674565764,0.47338589133594555,0,D,false,8,4
3,7,758.9550209842887,0.7780098674565764,0.47338589133594555,0,D,false,8,4
3,7,821.2640891276205,0.7780098674565764,0.47338589133594555,1,D-,true,8,4
3,7,892.2418031391867,0.7780098674565764,0.47338589133594555,1,C-,false,8,4
3,7,962.9434705646746,0.7780098674565764,0.47338589133594555,1,C-,false,8,4
3,7,1035.1363302456537,0.7780098674565764,0.47338589133594555,1,C-,false,8,4
3,7,1098.2125997561907,0.7780098674565764,0.47338589133594555,1,D,false,8,4
3,7,1160.2338797926154,0.7780098674565764,0.47338589133594555,2,D-,true,8,4
20,7,939.8001292632221,0.7780098674565764,0.47338589133594555,0,D-,true,8,4
20,7,996.3600317886148,0.7780098674565764,0.47338589133594555,1,F,true,8,4
20,7,1055.9060955472362,0.7780098674565764,0.47338589133594555,2,F+,true,8,4
5,7,810.8635448191703,0.7780098674565764,0.47338589133594555,0,F,true,8,4
5,7,871.314443069918,0.7780098674565764,0.47338589133594555,1,D-,true,8,4
5,7,933.1377891135605,0.7780098674565764,0.47338589133594555,2,D-,true,8,4
16,7,678.5110497028511,0.7780098674565764,0.47338589133594555,0,F+,true,8,4
16,7,735.2016791431441,0.7780098674565764,0.47338589133594555,1,F,true,8,4
16,7,794.499639930159,0.7780098674565764,0.47338589133594555,2,F+,true,8,4
18,7,526.8690012461936,0.7780098674565764,0.47338589133594555,0,F+,true,8,4
18,7,591.7151888630865,0.7780098674565764,0.47338589133594555,0,D,false,8,4
18,7,653.5972311613804,0.7780098674565764,0.47338589133594555,1,D-,true,8,4
18,7,715.9191639690799,0.7780098674565764,0.47338589133594555,2,D-,true,8,4
18,7,780.0338348657053,0.7780098674565764,0.47338589133594555,2,D,false,8,4
18,7,843.318405067391,0.7780098674565764,0.47338589133594555,2,D,false,8,4
18,7,908.6018977371036,0.7780098674565764,0.47338589133594555,2,D,false,8,4
18,7,972.5654794218274,0.7780098674565764,0.47338589133594555,2,D,false,8,4
18,7,1036.4151733029244,0.7780098674565764,0.47338589133594555,2,D,false,8,4
18,7,1100.5038448104572,0.7780098674565764,0.47338589133594555,2,D,false,8,4
18,7,1168.7162192894737,0.7780098674565764,0.47338589133594555,2,D+,false,8,4
7,7,869.805340060504,0.7780098674565764,0.47338589133594555,0,D-,true,8,4
7,7,938.1413471463088,0.7780098674565764,0.47338589133594555,0,D+,false,8,4
7,7,1003.8012102317801,0.7780098674565764,0.47338589133594555,0,D,false,8,4
7,7,1070.6143110853366,0.7780098674565764,0.47338589133594555,0,D,false,8,4
7,7,1139.1043383023398,0.7780098674565764,0.47338589133594555,0,D+,false,8,4
7,7,1198.834858253975,0.7780098674565764,0.47338589133594555,1,F+,true,8,4
7,7,1259.3753450812465,0.7780098674565764,0.47338589133594555,2,D-,true,8,4
2,7,939.4194676989248,0.7780098674565764,0.47338589133594555,0,F+,true,8,4
2,7,1000.936318267991,0.7780098674565764,0.47338589133594555,1,D-,true,8,4
2,7,1064.1141928266475,0.7780098674565764,0.47338589133594555,1,D,false,8,4
2,7,1129.9847145200533,0.7780098674565764,0.47338589133594555,1,D,false,8,4
2,7,1185.1266791108458,0.7780098674565764,0.47338589133594555,2,F,true,8,4
