# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 1.5
# agent_std_effort: 0.01
# divorce_constant: 100.0
# agent_tolerance_alpha: 2.0
# agent_tolerance_beta: 7.0
# currseed: 1
# group_track_rate: 1
# agent_track_rate: 5
group_id,id,accumulated_payoff,mean_value,tolerance,strikes,step_grade,loafing_detected,grade_mean_index,grade_tolerance
1,1,75.76895850472609,0.8721363195159829,0.019963006807024133,1,C,true,11,0
6,1,193.76070804030633,0.8721363195159829,0.019963006807024133,0,C-,true,11,0
12,1,340.8187924585493,0.8721363195159829,0.019963006807024133,2,C-,true,11,0
4,1,236.550098550342,0.8721363195159829,0.019963006807024133,1,C-,true,11,0
3,1,13.327517306164054,0.8721363195159829,0.019963006807024133,0,C,true,11,0
9,1,87.82696172942855,0.8721363195159829,0.019963006807024133,2,B,true,11,0
11,1,-181.54630707879048,0.8721363195159829,0.019963006807024133,1,B-,true,11,0
13,1,-115.15991004175149,0.8721363195159829,0.019963006807024133,2,C+,true,11,0
1,1,-464.62165317124277,0.8721363195159829,0.019963006807024133,1,D-,true,11,0
1,1,-862.5963441594516,0.8721363195159829,0.019963006807024133,0,C+,true,11,0
19,1,-898.7504384538607,0.8721363195159829,0.019963006807024133,2,C-,true,11,0
1,1,-1312.5283034967786,0.8721363195159829,0.019963006807024133,1,C+,true,11,0
16,1,-1756.9901113269575,0.8721363195159829,0.019963006807024133,0,C,true,11,0
16,1,-1808.113938772727,0.8721363195159829,0.019963006807024133,2,D+,true,11,0
17,1,-2307.048610848742,0.8721363195159829,0.019963006807024133,1,B-,true,11,0
18,1,-2773.003242839038,0.8721363195159829,0.019963006807024133,0,D+,true,11,0
17,1,-2806.4254604299267,0.8721363195159829,0.019963006807024133,1,A-,false,11,0
17,1,-2815.2908986979164,0.8721363195159829,0.019963006807024133,1,B+,false,11,0
19,1,-3325.6268224775113,0.8721363195159829,0.019963006807024133,0,D+,true,11,0
6,1,-3403.1493887095307,0.8721363195159829,0.019963006807024133,2,C,true,11,0
17,1,-3924.757815908614,0.8721363195159829,0.019963006807024133,0,B+,false,11,0
7,1,-3985.6791724353593,0.8721363195159829,0.019963006807024133,2,C,true,11,0
6,1,-4548.1218307520985,0.8721363195159829,0.019963006807024133,1,C+,true,11,0
9,1,-5143.395978690539,0.8721363195159829,0.019963006807024133,0,D,true,11,0
20,1,-5204.376404002976,0.8721363195159829,0.019963006807024133,2,B-,true,11,0
3,1,-5799.603204744516,0.8721363195159829,0.019963006807024133,1,C-,true,11,0
7,1,-6392.616250153038,0.8721363195159829,0.019963006807024133,0,C+,true,11,0
9,1,-6489.631246319115,0.8721363195159829,0.019963006807024133,2,B-,true,11,0
4,1,-7081.602667201234,0.8721363195159829,0.019963006807024133,1,C,true,11,0
14,1,-7716.715549767612,0.8721363195159829,0.019963006807024133,0,C-,true,11,0
1,1,-7834.6751806218645,0.8721363195159829,0.019963006807024133,2,B,true,11,0
6,1,-8454.15880322725,0.8721363195159829,0.019963006807024133,1,C+,true,11,0
20,1,-8562.875530879055,0.8721363195159829,0.019963006807024133,2,B,true,11,0
9,1,-9216.642335948556,0.8721363195159829,0.019963006807024133,1,B-,true,11,0
2,1,-9843.503056804595,0.8721363195159829,0.019963006807024133,0,C,true,11,0
4,1,-9970.7994692439,0.8721363195159829,0.019963006807024133,2,C-,true,11,0
13,1,-10617.230546940295,0.8721363195159829,0.019963006807024133,1,B,true,11,0
12,1,-11261.380720672913,0.8721363195159829,0.019963006807024133,0,B-,true,11,0
19,1,-11435.326754972108,0.8721363195159829,0.019963006807024133,2,C-,true,11,0
4,1,-12099.280939393808,0.8721363195159829,0.019963006807024133,1,C-,true,11,0
# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 1.5
# agent_std_effort: 0.01
# divorce_constant: 100.0
# agent_tolerance_alpha: 2.0
# agent_tolerance_beta: 7.0
# currseed: 2
# group_track_rate: 1
# agent_track_rate: 5
group_id,id,accumulated_payoff,mean_value,tolerance,strikes,step_grade,loafing_detected,grade_mean_index,grade_tolerance
1,1,73.55537352927578,0.7448407381407341,0.3918001021260886,0,C,false,7,4
1,1,460.9931081000739,0.7448407381407341,0.3918001021260886,0,C,false,7,4
1,1,840.315313454816,0.7448407381407341,0.3918001021260886,0,C,false,7,4
1,1,1225.822782814862,0.7448407381407341,0.3918001021260886,0,C,false,7,4
1,1,1613.9209991810199,0.7448407381407341,0.3918001021260886,0,C,false,7,4
