group_count,group_id,id,type,num_standards_in_group,num_deviants_in_group,accumulated_payoff,mean_value,tolerance,deviant_mean_tolerance,num_groups
5,11,59,1,3,2,0.288125,0.220665,0.040300,0.250000,13
5,11,59,1,3,2,0.517731,0.220665,0.040300,0.250000,13
4,11,59,1,2,2,0.863061,0.220665,0.040300,0.250000,13
4,11,59,1,2,2,1.011929,0.220665,0.040300,0.250000,13
4,11,59,1,2,2,1.230676,0.220665,0.040300,0.250000,13
4,11,59,1,2,2,1.380191,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,1.535089,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,1.535089,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,1.645432,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,1.757142,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,1.891806,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,2.256221,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,2.815172,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,3.077905,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,3.395143,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,3.606661,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,3.713106,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,4.002313,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,4.168492,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,4.494799,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,4.745101,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,4.965766,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,5.125922,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,5.349434,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,5.456348,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,5.585444,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,5.998495,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,6.454323,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,6.752519,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,6.976407,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,7.041165,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,7.271228,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,7.310038,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,7.683436,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,8.007370,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,8.293765,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,8.437937,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,8.745523,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,8.849093,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,9.149666,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,9.437969,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,9.684681,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,9.881077,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,10.286309,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,10.718022,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,10.797852,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,10.981046,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,11.255123,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,11.465517,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,11.775714,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,12.122297,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,12.244869,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,12.515459,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,12.870153,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,13.169351,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,13.381623,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,13.688634,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,13.996283,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,14.236281,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,14.442507,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,14.385155,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,14.644252,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,14.941380,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,15.318553,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,15.489368,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,15.717961,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,15.892960,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,16.163001,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,16.438555,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,16.611129,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,16.916271,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,17.171463,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,17.583962,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,17.642453,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,17.799084,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,17.927418,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,18.047606,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,18.235687,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,18.502016,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,18.572934,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,18.728308,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,18.821687,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,19.051362,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,19.312729,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,19.529363,0.220665,0.040300,0.250000,13
0,-1,59,1,0,0,19.576930,0.220665,0.040300,0.250000,13
