% Base Parameters: gridHeight = 100, gridWidth = 100, min_distance_groups = 5, num_groups = 13, num_agents_per_group = 5, max_strikes = 3, mean_tolerance = 0.5, std_tolerance = 0.25, mean_value = 1.0, std_value = 0.5, agent_std_value = 0.1, prop_deviant = 0.2, deviant_mean_tolerance = 0.25, 

% Random Parameters: 
% Test Parameters:
%deviant_mean_tolerance = [0.25, 1.0, 0.5]
% ,,Test Parameters,Results
Seed,Timestep,deviant_mean_tolerance,num_deviants,num_standards,avg_deviant_payoff,avg_standard_payoff,
1,0,0.25,14,51,0.0,0.0,
1,1,0.25,14,51,0.5177890675408499,0.5136609914256081,
1,2,0.25,14,51,1.0319680043629236,1.013986132191677,
1,3,0.25,14,51,1.5563801126820702,1.5306150296155137,
1,4,0.25,14,51,2.005781438946724,1.996694658901177,
1,5,0.25,14,51,2.4576171845197683,2.4566935393155784,
1,6,0.25,14,51,2.92557826936245,2.9343317409356424,
1,7,0.25,14,51,3.4130393628742346,3.3986831712372156,
1,8,0.25,14,51,3.8586326572960643,3.8477731204821963,
1,9,0.25,14,51,4.352644898055096,4.308600163428966,
1,10,0.25,14,51,4.784118558144554,4.753322954630119,
1,11,0.25,14,51,5.2974652811611955,5.251730612833426,
1,12,0.25,14,51,5.778534842612461,5.726818524432273,
1,13,0.25,14,51,6.270790448506127,6.211118999318531,
1,14,0.25,14,51,6.672302326139404,6.638246181475634,
1,15,0.25,14,51,7.078080742279143,7.051426722094118,
1,16,0.25,14,51,7.498607663034846,7.480535942010102,
1,17,0.25,14,51,7.964387326159638,7.906979263656719,
1,18,0.25,14,51,8.431714186377423,8.356218277779504,
1,19,0.25,14,51,8.821914621784474,8.791866355721803,
1,20,0.25,14,51,9.258217803466675,9.231259812279793,
1,21,0.25,14,51,9.69146031855009,9.662505479222212,
1,22,0.25,14,51,10.14496413669021,10.110940136770761,
1,23,0.25,14,51,10.549042855559211,10.542640284994812,
1,24,0.25,14,51,10.974716301100973,10.976073949236062,
1,25,0.25,14,51,11.418493164597953,11.417277154442298,
1,26,0.25,14,51,11.831518864532159,11.862363087745715,
1,27,0.25,14,51,12.220186584875549,12.282100320067682,
1,28,0.25,14,51,12.66513105899937,12.708213382242356,
1,29,0.25,14,51,13.06776125805716,13.124678451959653,
1,30,0.25,14,51,13.452642949053196,13.565997573527785,
1,31,0.25,14,51,13.853805043135619,13.990419446651604,
1,32,0.25,14,51,14.296064772149682,14.399729904404802,
1,33,0.25,14,51,14.73167004746219,14.83600005414843,
1,34,0.25,14,51,15.106112194961227,15.260708977106455,
1,35,0.25,14,51,15.489983541640484,15.681996972432922,
1,36,0.25,14,51,15.903093568210554,16.102504350286505,
1,37,0.25,14,51,16.334990978667456,16.50851417387683,
1,38,0.25,14,51,16.721626282732437,16.94568944584907,
1,39,0.25,14,51,17.11467804423949,17.38761273174701,
1,40,0.25,14,51,17.49678975284648,17.801295996376513,
1,41,0.25,14,51,17.947384232158704,18.237180592664263,
1,42,0.25,14,51,18.298915178311255,18.659949026446743,
1,43,0.25,14,51,18.68016359960372,19.05824199817367,
1,44,0.25,14,51,19.06179411996306,19.486832971918712,
1,45,0.25,14,51,19.391322660761656,19.87589488518305,
1,46,0.25,14,51,19.781014382185845,20.268072512050683,
1,47,0.25,14,51,20.172541718257385,20.6545573694899,
1,48,0.25,14,51,20.545394361837023,21.049997547603336,
1,49,0.25,14,51,20.940198537434416,21.46200260625772,
1,50,0.25,14,51,21.259924092615922,21.857999478458154,
1,51,0.25,14,51,21.59802239268691,22.264599670957722,
1,52,0.25,14,51,22.008645639968286,22.651886012159327,
1,53,0.25,14,51,22.439873573117104,23.061362486315044,
1,54,0.25,14,51,22.81991172841086,23.47214859640322,
1,55,0.25,14,51,23.241679912086294,23.89046207764028,
1,56,0.25,14,51,23.61976878523373,24.289380139448983,
1,57,0.25,14,51,24.010658628338057,24.700792499135442,
1,58,0.25,14,51,24.419619350186043,25.085172612980223,
1,59,0.25,14,51,24.768616192661206,25.513795147385864,
1,60,0.25,14,51,25.156717031949174,25.921987899645284,
1,61,0.25,14,51,25.589374522545853,26.33565032233672,
1,62,0.25,14,51,25.93293946658606,26.734006933146,
1,63,0.25,14,51,26.358276826245447,27.12766036995948,
1,64,0.25,14,51,26.74547181028725,27.524425349832253,
1,65,0.25,14,51,27.13599719817569,27.92466087505385,
1,66,0.25,14,51,27.509927551317883,28.3175790409626,
1,67,0.25,14,51,27.84551697631216,28.71141877801635,
1,68,0.25,14,51,28.244771862626727,29.099420380086364,
