% Base Parameters: gridHeight = 100, gridWidth = 100, min_distance_groups = 5, num_groups = 13, num_agents_per_group = 5, max_strikes = 3, mean_tolerance = 0.25, std_tolerance = 0.1, mean_value = 1.0, std_value = 0.5, agent_std_value = 0.25, prop_deviant = 0.2, deviant_mean_tolerance = 0.125, prefix = adjusted_means, 

% Random Parameters: 
% Test Parameters:
%deviant_mean_tolerance = [0.125, 0.25, 0.5]
% ,,Test Parameters,Results
Seed,Timestep,deviant_mean_tolerance,num_deviants,num_standards,avg_deviant_payoff,avg_standard_payoff,
1,0,0.125,14,51,0.0,0.0,
1,1,0.125,14,51,0.2990560650825501,0.2778952205882351,
1,2,0.125,14,51,0.5637418465954916,0.557931847198337,
1,3,0.125,14,51,0.8442378563540325,0.7907221881782304,
1,4,0.125,14,51,1.172182138477053,1.064964694237592,
1,5,0.125,14,51,1.4167246392795019,1.2955363359375325,
1,6,0.125,14,51,1.6033758754176752,1.4981783748438704,
1,7,0.125,14,51,1.8466497622430325,1.787546779060404,
1,8,0.125,14,51,2.094731005715827,2.042504994711268,
1,9,0.125,14,51,2.272165100586658,2.3233581202082925,
1,10,0.125,14,51,2.619886847521445,2.6223363552321337,
1,11,0.125,14,51,2.8760436898456865,2.8962536328628565,
1,12,0.125,14,51,3.16659862199046,3.160097686864432,
1,13,0.125,14,51,3.4484398810249224,3.421127155937976,
1,14,0.125,14,51,3.627896481818058,3.6529215418122822,
1,15,0.125,14,51,3.8401370705313975,3.8993056583781405,
1,16,0.125,14,51,4.05647066533973,4.129042986926097,
1,17,0.125,14,51,4.265500937680857,4.385749293536036,
1,18,0.125,14,51,4.465763027083041,4.666600301839729,
1,19,0.125,14,51,4.860010628198846,4.940701349890161,
1,20,0.125,14,51,5.107109769383485,5.24896504014212,
1,21,0.125,14,51,5.264958135675262,5.505122744317554,
1,22,0.125,14,51,5.4983478746060355,5.820417068652445,
1,23,0.125,14,51,5.638498573150836,5.995412332645697,
1,24,0.125,14,51,5.825111601589335,6.181475708158289,
1,25,0.125,14,51,6.054910329456173,6.438430910907765,
1,26,0.125,14,51,6.30763445500564,6.656503470836748,
1,27,0.125,14,51,6.549514685793635,6.930620178674421,
1,28,0.125,14,51,6.757399919042052,7.173621398581955,
1,29,0.125,14,51,6.881486275943941,7.419662061755187,
1,30,0.125,14,51,7.209633862731316,7.666506047768332,
1,31,0.125,14,51,7.420494400825305,7.891984718075285,
1,32,0.125,14,51,7.688273347551592,8.131553132858796,
1,33,0.125,14,51,7.938276968884639,8.426475113199286,
1,34,0.125,14,51,8.244845677815281,8.733099536993967,
1,35,0.125,14,51,8.500595185136149,8.997490166111625,
1,36,0.125,14,51,8.811481226203613,9.2490326616592,
1,37,0.125,14,51,9.111719516314887,9.51312475923046,
1,38,0.125,14,51,9.28249028914378,9.768852361913611,
1,39,0.125,14,51,9.50168598942218,10.031648807631212,
1,40,0.125,14,51,9.818421116878694,10.238711931406545,
1,41,0.125,14,51,10.069561659205478,10.503526669076784,
1,42,0.125,14,51,10.305842204487769,10.78118443566883,
1,43,0.125,14,51,10.5493611600983,10.956967509281252,
1,44,0.125,14,51,10.786610959283385,11.209651532157341,
1,45,0.125,14,51,10.99973554294806,11.427469390099915,
1,46,0.125,14,51,11.279102005734163,11.684614349035277,
1,47,0.125,14,51,11.467136190348286,11.971786879009503,
1,48,0.125,14,51,11.79914308726247,12.253608440121358,
1,49,0.125,14,51,12.047155297030425,12.518747090692774,
1,50,0.125,14,51,12.254362617011779,12.695573089412898,
1,51,0.125,14,51,12.454683097616666,12.940155102748303,
1,52,0.125,14,51,12.79562496925803,13.136277740804244,
1,53,0.125,14,51,13.052487518429873,13.411855014195364,
