# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 3.0
# agent_std_effort: 0.01
# divorce_constant: 100.0
# agent_tolerance_alpha: 2.0
# agent_tolerance_beta: 3.0
# seed: 1
group_count,group_payoff,step_grade,loafing_detected
3,45.52286702906981,F-,false
3,47.45705031709678,F-,false
3,46.57502392092151,F-,false
3,47.34107875044515,F-,false
3,48.82379200895869,F-,false
4,46.84622462224482,F-,false
4,51.07769751880659,F-,false
4,53.93128320144211,F,false
3,54.12945879274724,F,true
3,45.090322425497554,F-,false
3,44.29145302751642,F-,false
3,43.75439108949701,F-,false
3,47.35155191000984,F-,false
3,46.36166904850513,F-,false
4,44.86862854750167,F-,false
4,56.1339526807465,F,false
4,53.74660851112413,F,true
3,56.50939500247352,F,true
3,45.346190752616025,F-,false
3,46.7152248566751,F-,false
3,42.79939852629241,F-,false
3,44.99220660160145,F-,false
3,44.87429740963108,F-,false
3,42.264980930741835,F-,false
3,43.712543320754406,F-,false
3,46.78247702036797,F-,false
3,47.48017640797671,F-,false
3,45.160199174302825,F-,false
3,49.00505332199069,F-,false
3,47.44080644774362,F-,false
3,45.50353980200617,F-,false
3,45.576329810637034,F-,false
3,45.793517837575045,F-,false
3,46.87923327370102,F-,false
3,48.51274308959198,F-,false
3,45.44081375111946,F-,false
3,49.71309613488534,F-,false
3,44.75927192672966,F-,false
3,45.59775575328799,F-,false
3,45.85933694784037,F-,false
3,46.42135658691878,F-,false
3,46.35940919665533,F-,false
3,46.69864941367455,F-,false
4,47.53809450584065,F-,false
4,55.59833739380824,F,false
4,59.55172480379481,F+,true
3,57.321205257188126,F+,false
3,45.532301533375744,F-,false
3,44.52593609035741,F-,false
3,45.564368937909435,F-,false
3,45.25386320836699,F-,false
3,46.53309378009528,F-,false
3,46.22287884843834,F-,false
3,48.06004089079674,F-,false
4,48.90497683305513,F-,false
4,52.417050303943746,F-,true
4,51.27112288324928,F-,false
3,50.57949233757644,F-,false
3,46.080350691456005,F-,false
3,45.762628797495104,F-,false
3,49.11196062853291,F-,false
3,45.66917800295303,F-,false
3,46.54348109385062,F-,false
3,45.588170542089685,F-,false
4,46.76959458555156,F-,false
4,52.929999544675844,F-,false
4,54.11608419147444,F,false
3,54.57395382944933,F,false
3,45.614070460607934,F-,false
3,46.29483462498493,F-,false
3,46.537838953650365,F-,false
3,44.84149805152081,F-,false
3,46.454825309398466,F-,false
4,44.79887454363849,F-,false
4,52.26010054263841,F-,true
4,53.23309783302336,F,false
3,53.77360046272347,F,true
3,45.849796917823774,F-,false
3,45.94155847487508,F-,false
3,46.49779984086122,F-,false
3,46.333552697532724,F-,false
3,47.906791579616254,F-,false
3,45.68359494153847,F-,false
3,44.968146517278534,F-,false
3,47.01320983500341,F-,false
3,46.58677878709771,F-,false
3,44.39496927324441,F-,false
3,44.647979153043416,F-,false
3,44.56783278427163,F-,false
3,46.470791307084575,F-,false
3,43.921708749747026,F-,false
3,46.585983542591066,F-,false
3,44.77081287377355,F-,false
3,44.59550628125539,F-,false
4,46.906497314388474,F-,false
4,52.122628944241356,F-,false
4,55.86357590231608,F,false
3,54.53768781855023,F,true
3,45.88620685042889,F-,false
3,46.46504245310663,F-,false
3,48.33831589204571,F-,false
3,44.51920492317143,F-,false
3,44.96778274213711,F-,false
3,47.189998058066145,F-,false
3,45.62238701613843,F-,false
3,45.65023240655399,F-,false
3,43.83035479580304,F-,false
3,44.128001295452975,F-,false
3,46.651129356830275,F-,false
3,47.690836125506806,F-,false
