group_count,group_id,num_standards,num_deviants,deviant_mean_tolerance,num_groups
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
group_count,group_id,num_standards,num_deviants,deviant_mean_tolerance,num_groups
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
group_count,group_id,num_standards,num_deviants,deviant_mean_tolerance,num_groups
5,0,3,2,0.125000,13
5,0,3,2,0.125000,13
5,0,3,2,0.125000,13
5,0,3,2,0.125000,13
5,0,3,2,0.125000,13
4,0,3,1,0.125000,13
4,0,3,1,0.125000,13
4,0,3,1,0.125000,13
3,0,2,1,0.125000,13
3,0,2,1,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
2,0,2,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
1,0,1,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
0,0,0,0,0.125000,13
group_count,group_id,num_standards,num_deviants,deviant_mean_tolerance,num_groups
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
5,0,4,1,0.125000,13
3,0,3,0,0.125000,13
3,0,3,0,0.125000,13
