# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 3.0
# agent_std_effort: 0.01
# divorce_constant: 100.0
# agent_tolerance_alpha: 3.0
# agent_tolerance_beta: 5.0
# currseed: 1
group_count,group_payoff,step_grade,loafing_detected
3,47.33103933156808,F-,false
3,45.141850121267915,F-,false
3,46.20159334500197,F-,false
3,47.01860968956672,F-,false
3,41.42916327125631,F-,false
3,47.17021279242219,F-,false
3,46.90253832861463,F-,false
3,46.47547292494343,F-,false
3,46.545493168710806,F-,false
3,49.07806849234104,F-,false
3,44.76520087038986,F-,false
3,46.20016275354754,F-,false
3,47.45739216131974,F-,false
3,43.66529155997799,F-,false
3,48.11717493270826,F-,false
3,45.18554099938662,F-,false
3,46.57337638955951,F-,false
3,48.89437059007082,F-,false
3,47.27656851818035,F-,false
3,41.75736456193662,F-,false
3,46.19816206810142,F-,false
3,45.849880295267674,F-,false
3,44.9869442756514,F-,false
4,46.25043857134473,F-,false
4,60.331054831396415,D-,true
4,55.87567209645399,F,true
3,61.09221761607251,D-,false
3,46.105254178520674,F-,false
3,46.74862599322802,F-,false
4,46.4068646977163,F-,false
4,58.3197388125002,F+,false
4,55.49980961279189,F,false
3,57.01157087087279,F+,false
3,47.41658507746863,F-,false
3,43.96366198859029,F-,false
3,46.36609705432443,F-,false
4,45.671154939514835,F-,false
4,59.16603531802139,F+,false
4,60.4793504594824,D-,true
3,61.33340591787092,D-,false
3,46.476821663566106,F-,false
3,44.97500062603649,F-,false
3,44.03673779665763,F-,false
3,47.0730607149722,F-,false
3,49.13392187072835,F-,false
3,46.473866927496374,F-,false
3,47.05839866851537,F-,false
3,47.37435412920749,F-,false
3,44.72808133115022,F-,false
3,48.42320888581671,F-,false
3,46.551951560862506,F-,false
4,47.83001589401523,F-,false
4,61.4141697268452,D-,false
4,55.92992771781739,F,true
3,58.86504811566101,F+,false
3,48.126896194325525,F-,false
4,46.9246839164672,F-,false
4,54.91604170771125,F,true
4,60.816052119934504,D-,false
3,58.29607448749573,F+,true
3,44.14108247162301,F-,false
3,45.533990492940056,F-,false
3,47.17876275621643,F-,false
3,44.051261525051025,F-,false
3,47.018992592083954,F-,false
3,47.60720026954585,F-,false
3,47.216183211519954,F-,false
3,46.38491892250827,F-,false
3,46.943558774647734,F-,false
3,45.00810824089989,F-,false
3,46.08831579730085,F-,false
3,45.94893190138368,F-,false
3,47.92790247885738,F-,false
3,47.596370830339495,F-,false
3,45.14483590369341,F-,false
3,44.708874369734765,F-,false
3,45.29047271630096,F-,false
3,46.398130372494464,F-,false
3,45.769637323918914,F-,false
3,46.8875692042442,F-,false
3,45.62595468188238,F-,false
3,46.42903429888658,F-,false
3,47.06129237730267,F-,false
3,45.28476262103814,F-,false
3,46.448266847770384,F-,false
3,44.20002042445717,F-,false
3,48.519506974064335,F-,false
4,43.64246399267548,F-,false
4,53.47224898467889,F,false
4,52.53890997336029,F-,false
3,53.72933045924212,F,false
3,47.19610690135937,F-,false
3,43.49078355143377,F-,false
4,46.36747442562083,F-,false
4,54.70564915060277,F,false
4,54.71108014254582,F,false
3,52.49074986201015,F-,false
3,45.236924112535185,F-,false
3,46.06434006282477,F-,false
3,48.622153620825245,F-,false
3,46.40747541022183,F-,false
3,44.99427903177568,F-,false
3,46.21332705665906,F-,false
3,47.01359004011959,F-,false
3,44.42017993209079,F-,false
3,45.28993408553051,F-,false
3,43.74848720772889,F-,false
3,47.052773461649686,F-,false
3,46.237789387590254,F-,false
3,47.226568925095044,F-,false
4,44.868929919976864,F-,false
4,55.636217118427,F,true
4,58.25970575370649,F+,true
3,54.99495104395198,F,true
3,46.07681335835832,F-,false
3,45.71151090339811,F-,false
3,46.96038113388779,F-,false
4,47.6450306590192,F-,false
4,54.942306106444924,F,false
4,58.91918437018803,F+,false
3,57.189017687786446,F+,true
3,43.820414195572276,F-,false
3,43.54785948484714,F-,false
4,46.780123067709575,F-,false
4,54.314165382333314,F,true
4,55.27755286361559,F,true
3,56.48310527410148,F,false
3,47.91736667164728,F-,false
3,45.719076008768624,F-,false
4,44.81395290139818,F-,false
4,55.8526779107366,F,false
4,55.44800136663138,F,true
3,57.42064781856039,F+,true
3,46.47521494761211,F-,false
3,47.70954373524223,F-,false
3,45.60396487833705,F-,false
3,46.3588859964756,F-,false
3,44.51268494668275,F-,false
3,47.61429017347793,F-,false
3,47.574465592622644,F-,false
3,46.400583334593634,F-,false
3,44.36489632055343,F-,false
3,43.49947978588201,F-,false
3,45.39861735078813,F-,false
3,44.6912878251453,F-,false
3,45.655260677950665,F-,false
3,44.393975966594795,F-,false
3,47.36154406875672,F-,false
3,44.465799913056834,F-,false
3,46.633134206912594,F-,false
4,46.38247383006157,F-,false
4,56.97182978031545,F,true
4,59.02339500275748,F+,false
4,55.82740519307408,F,false
4,56.13034835906039,F,false
4,58.96401832389321,F+,false
3,53.91142670671609,F,true
3,48.95317633694745,F-,false
3,46.18814152304054,F-,false
3,43.944100717407316,F-,false
3,46.496368096411366,F-,false
3,47.9113779491986,F-,false
3,45.828576820887164,F-,false
3,46.92331994344759,F-,false
3,47.37688872841332,F-,false
4,46.53072468882933,F-,false
4,57.70610186433417,F+,false
4,56.91409236937547,F,false
3,55.24886392562451,F,false
4,45.72833090217666,F-,false
4,58.51133294472087,F+,false
4,57.05798592151638,F+,true
3,55.747734290179665,F,false
3,43.32952151165674,F-,false
4,48.67412842677072,F-,false
4,61.26288012708455,D-,true
4,57.67325879202574,F+,false
3,59.02600759300669,F+,false
3,46.95560642669992,F-,false
3,48.04079918352558,F-,false
3,43.94742763413282,F-,false
3,47.08447168925889,F-,false
3,45.89121828367554,F-,false
3,45.50046759633806,F-,false
3,45.129360661300396,F-,false
3,47.951030182728836,F-,false
3,46.250108344072856,F-,false
3,46.43636094656063,F-,false
3,46.939238575045614,F-,false
3,46.54338804929877,F-,false
3,43.94524531503628,F-,false
4,45.98999977258758,F-,false
4,57.29569864138037,F+,true
4,58.29245740727832,F+,true
3,59.93239700744475,F+,false
3,46.49398318620382,F-,false
3,45.8785873478724,F-,false
4,46.0637025861621,F-,false
4,55.51921969553383,F,false
4,54.559114019154805,F,false
# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 3.0
# agent_std_effort: 0.01
# divorce_constant: 100.0
# agent_tolerance_alpha: 3.0
# agent_tolerance_beta: 5.0
# currseed: 2
group_count,group_payoff,step_grade,loafing_detected
3,44.49716477651119,F-,false
3,45.88768021765025,F-,false
3,46.20953705638451,F-,false
3,46.18626602598124,F-,false
3,46.700462793339106,F-,false
4,45.470068824454295,F-,false
4,55.05773456346884,F,false
4,54.892927350274476,F,false
3,57.71005528993906,F+,true
3,43.41400325305364,F-,false
3,46.25107956748976,F-,false
3,45.95996964321517,F-,false
3,45.07549488339499,F-,false
3,46.604480427215165,F-,false
3,44.90441797353416,F-,false
3,45.88539833106821,F-,false
4,46.645144819520496,F-,false
4,51.507423136403816,F-,false
4,54.62541775657477,F,true
3,53.29547111029582,F,false
3,44.20996254471162,F-,false
3,46.79051152857287,F-,false
3,45.913794836643426,F-,false
3,47.71405745831072,F-,false
3,45.046901580144585,F-,false
3,45.618367680990936,F-,false
3,47.91612869591509,F-,false
3,47.095512780702826,F-,false
3,50.11625081773335,F-,false
3,47.31415362591322,F-,false
3,45.90285408620227,F-,false
3,42.9758062925551,F-,false
3,44.21293604186493,F-,false
3,46.73209123073305,F-,false
3,45.28129556113411,F-,false
3,44.96264619101667,F-,false
3,48.3774090232324,F-,false
3,47.17222784407543,F-,false
3,46.41098740961331,F-,false
3,42.55811805320578,F-,false
3,45.318730376564055,F-,false
3,46.3247415609227,F-,false
3,46.1193232652546,F-,false
3,47.83832696083649,F-,false
3,44.93237674668097,F-,false
3,46.357154921718895,F-,false
4,45.956234829401744,F-,false
4,52.03020510246365,F-,false
4,57.2067722384863,F+,false
4,56.56357203798671,F,false
4,56.090860469731155,F,false
4,57.2613752695842,F+,false
4,56.60847583841421,F,true
4,58.09880831354191,F+,false
4,55.94903235620624,F,false
3,56.05393584167596,F,false
4,48.36840082223193,F-,false
4,58.345413356190754,F+,true
4,57.452994931147884,F+,true
3,56.36141201234637,F,true
3,45.82006781994678,F-,false
3,47.4705645309984,F-,false
3,47.183974845022455,F-,false
3,46.31087615660611,F-,false
4,46.32310035933816,F-,false
4,52.101412211752915,F-,true
4,52.90352268975095,F-,false
3,56.56081452973726,F,false
4,45.65406744528844,F-,false
4,54.71968518741068,F,false
4,61.040637130283685,D-,false
3,57.05046584926979,F+,true
3,47.11007996214936,F-,false
3,47.40335098516595,F-,false
3,44.32903031406178,F-,false
3,46.84350415554801,F-,false
4,43.92701771052959,F-,false
4,55.24059359539451,F,false
4,54.488981791231936,F,false
3,53.57683667444606,F,false
3,45.07971040494809,F-,false
3,45.32062521794346,F-,false
3,45.421185908488255,F-,false
4,46.60194843981779,F-,false
4,55.602044898190094,F,false
4,57.679961160382696,F+,true
3,58.168058774187756,F+,true
3,47.3593988215999,F-,false
3,47.16629589624637,F-,false
3,42.601015065672264,F-,false
3,44.16975965212256,F-,false
3,47.34987835560423,F-,false
3,46.51899809274187,F-,false
4,45.10387855090306,F-,false
4,54.85287076590453,F,false
4,57.58143343996349,F+,false
3,54.72010643795626,F,false
3,44.85089120382002,F-,false
4,45.99816803172855,F-,false
4,54.427656221294086,F,true
4,53.366608584796126,F,false
3,50.48583157561908,F-,false
3,46.521340949536004,F-,false
3,46.871470118251125,F-,false
3,45.71358444983154,F-,false
3,49.111716654895154,F-,false
3,47.13101951734832,F-,false
4,47.05651922576616,F-,false
4,56.13615485144731,F,true
4,55.26899382526545,F,false
3,56.627776097775026,F,true
3,46.809756027271696,F-,false
3,46.7362995848141,F-,false
3,45.533202772157814,F-,false
3,45.03016141021378,F-,false
3,44.29140072891716,F-,false
3,44.9906158612312,F-,false
3,47.22252112755653,F-,false
3,47.16221142258456,F-,false
3,48.590401710553934,F-,false
3,45.592418125221165,F-,false
3,45.67507197771539,F-,false
4,45.254018802354615,F-,false
4,58.13237178300446,F+,false
4,56.121868568558895,F,false
3,54.166352507491524,F,true
3,46.128659157212496,F-,false
3,48.12945749683275,F-,false
3,47.269849433303776,F-,false
3,43.27273392667926,F-,false
3,47.442402672239176,F-,false
3,44.87523183776805,F-,false
3,45.604483541250644,F-,false
3,45.35808188534523,F-,false
3,47.83358692268816,F-,false
3,47.460839012440054,F-,false
3,44.946025153095285,F-,false
3,47.07599160740521,F-,false
4,45.327237791702274,F-,false
4,52.22618313325095,F-,true
4,54.351703203141554,F,false
3,52.043604193375714,F-,false
3,47.19469537935299,F-,false
3,44.85352963143414,F-,false
3,45.86635379221462,F-,false
3,49.163546366186026,F-,false
3,45.35496772018233,F-,false
3,47.292108468092955,F-,false
3,46.67064365847128,F-,false
3,46.07781435414261,F-,false
4,43.59309386190901,F-,false
4,53.65031152212754,F,false
4,54.2760558373261,F,false
4,53.96079222345188,F,true
4,52.97044861557284,F-,false
4,52.05438213090608,F-,true
4,54.0245399543069,F,true
4,53.399750750287176,F,false
4,53.737535610531694,F,false
3,50.705659967053016,F-,true
3,45.82677773914477,F-,false
3,46.81780167021643,F-,false
3,44.447534060346314,F-,false
3,47.76271842821806,F-,false
3,43.72177836145635,F-,false
3,45.692251946992734,F-,false
3,44.86839976922732,F-,false
4,44.027503283371686,F-,false
4,56.87933200518061,F,false
4,55.001184482181486,F,false
3,56.05253543463872,F,false
3,45.928672080979624,F-,false
3,45.680970025594306,F-,false
4,46.579971058840485,F-,false
4,53.76408063346829,F,false
4,54.90210313865707,F,false
3,56.38343605522975,F,false
3,47.08514011231019,F-,false
3,46.422689532886906,F-,false
3,44.36189679645988,F-,false
3,45.833406962193216,F-,false
4,46.77722604779863,F-,false
4,50.26890109133425,F-,false
4,51.79203843130661,F-,false
3,50.319776099609115,F-,false
3,47.454825644257035,F-,false
3,46.04660065235437,F-,false
3,46.104855427020176,F-,false
3,47.00789435472462,F-,false
3,44.24671247480739,F-,false
3,47.1677741413754,F-,false
4,47.118350781345356,F-,false
4,53.57587340556268,F,false
4,52.149734776600596,F-,true
3,55.78403900206532,F,true
3,47.483797031244244,F-,false
3,44.05909179220455,F-,false
4,46.239563230700135,F-,false
4,56.83716562366531,F,false
4,57.52775636312839,F+,false
# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 3.0
# agent_std_effort: 0.05
# divorce_constant: 100.0
# agent_tolerance_alpha: 3.0
# agent_tolerance_beta: 5.0
# currseed: 1
group_count,group_payoff,step_grade,loafing_detected
3,49.72843214753838,F-,false
3,42.65835485857099,F-,false
3,48.99477860703802,F-,false
