# num_agents: 25
# min_agents_per_group: 3
# max_agents_per_group: 4
group_count,group_payoff,step_grade,loafing_detected
3,55.64785784846708,F,true
3,53.66783497813433,F,false
3,51.595879277176124,F-,true
3,56.40433581611749,F,true
3,56.11069390559585,F,true
3,53.048205956974925,F,true
2,43.27663563270048,F-,false
2,43.57363482252702,F-,false
2,42.670391431120244,F-,false
4,62.91171100849644,D-,false
4,64.06009743620771,D,true
4,59.96039112501742,F+,true
2,43.615508873810654,F-,false
2,42.16966336060558,F-,false
2,41.92739024028887,F-,false
2,43.89546061051553,F-,false
2,41.29284085458666,F-,false
2,41.63967252970297,F-,false
2,41.290767989090895,F-,false
3,51.97967863444381,F-,false
3,55.86955863885412,F,false
3,56.142741512955666,F,false
2,44.694127620327066,F-,false
2,41.5190745222691,F-,false
2,43.818248451674165,F-,false
2,40.810859556137515,F-,false
2,44.55287176323795,F-,false
3,56.22324867909549,F,false
3,55.87283226185373,F,true
4,63.65974733906403,D,true
3,57.15829171680609,F+,false
4,64.20247860896386,D,true
3,52.39723004773611,F-,true
4,60.42545267898798,D-,true
3,55.1633625244373,F,false
3,58.90595174849105,F+,false
2,42.81174965081005,F-,false
3,53.73639344709061,F,false
3,52.248377925497394,F-,false
3,55.95035977293471,F,false
2,41.69366087863087,F-,false
2,41.803388572336594,F-,false
3,54.8471566340865,F,false
4,60.79710458985087,D-,false
4,59.35680471439414,F+,true
3,53.57927270565218,F,false
3,53.77337404681563,F,false
3,52.99850544170472,F-,false
4,61.11480792694294,D-,true
3,56.81739664665869,F,true
3,54.56284465913222,F,false
3,58.26352349697102,F+,true
3,63.6490959964306,D,false
3,60.81019211857511,D-,false
2,42.46417109963592,F-,false
2,45.48561530923301,F-,false
2,44.08493709185619,F-,false
2,40.96505885059567,F-,false
3,57.219736925144126,F+,false
3,57.506264347735005,F+,false
4,66.78597121098882,D,true
3,59.309209812091055,F+,false
3,60.09798709017168,D-,false
2,43.63587254804343,F-,false
3,56.38316588529918,F,true
3,53.60366103999179,F,false
3,53.25224346182203,F,false
2,43.086302800665635,F-,false
2,41.549741833832876,F-,false
3,58.5171079655918,F+,false
3,58.723224820056494,F+,false
3,60.61172256712831,D-,true
4,58.84880618135482,F+,false
4,63.31798325539493,D,true
4,59.527879106136474,F+,false
2,42.34383075182834,F-,false
2,41.87214283242731,F-,false
2,44.904409507263466,F-,false
3,56.09900507687604,F,false
3,54.72297130623258,F,false
4,62.37937978123017,D-,false
3,54.572354567548274,F,true
3,58.499711671720846,F+,true
2,43.56470428003401,F-,false
2,42.687300647083774,F-,false
2,44.525609261351676,F-,false
3,55.10197755367344,F,false
3,55.196741479114465,F,false
3,50.807001192753866,F-,false
2,42.24906552127918,F-,false
4,61.65351757744929,D-,false
4,61.1132604003199,D-,true
4,61.187471652326394,D-,false
2,44.35023726047469,F-,false
2,42.85612981707718,F-,false
2,42.3133951445285,F-,false
2,43.4429527297397,F-,false
2,44.939331296195824,F-,false
2,42.2047432123476,F-,false
2,41.36965100475366,F-,false
2,43.82444179700601,F-,false
2,41.54776358945656,F-,false
3,59.72832951290749,F+,false
3,58.365067418377606,F+,true
5,67.69762266117552,D+,true
4,59.22961298186343,F+,true
4,58.616997289284164,F+,false
2,40.92803877751333,F-,false
2,41.587186403826045,F-,false
2,45.41469448688234,F-,false
2,43.45693213764915,F-,false
4,60.219027706763384,D-,false
4,61.199023484618586,D-,true
4,59.67559878008682,F+,true
2,42.061691717971215,F-,false
2,43.38577122079475,F-,false
2,43.13530672373769,F-,false
3,59.54498434847339,F+,false
3,60.71352638427698,D-,false
4,64.55935417174723,D,false
3,51.944610881148925,F-,true
3,54.19734886817885,F,false
2,44.02148486882664,F-,false
3,55.749842189693524,F,true
3,57.47963655418563,F+,false
3,54.95762651478967,F,false
2,44.30711437332299,F-,false
2,43.300622587613304,F-,false
3,54.274342113201094,F,false
3,53.61205490894434,F,true
3,55.876099947568036,F,true
2,42.00348265962835,F-,false
4,64.48585593421137,D,true
4,61.66189437860974,D-,false
4,66.42220535999229,D,false
2,41.32374188376712,F-,false
2,39.59091532025058,F-,false
2,42.216949687118465,F-,false
3,55.68539325233453,F,true
3,53.758850872741746,F,false
3,55.6184341404545,F,false
4,63.461738321465454,D,true
4,60.201572708768566,D-,false
4,60.01019514881132,D-,true
2,44.42254598596704,F-,false
2,44.73595396559202,F-,false
3,54.30790477866289,F,true
3,54.7286160685728,F,true
3,55.27534325255653,F,true
2,45.49765393058757,F-,false
2,43.161486539959576,F-,false
2,42.616614430607065,F-,false
2,45.816164349248666,F-,false
3,60.42839558203674,D-,true
3,61.52648287450062,D-,false
3,56.53075336043876,F,true
2,40.30140184990544,F-,false
2,42.94401710951679,F-,false
2,43.7070405225702,F-,false
3,62.11914926977903,D-,false
3,57.95973746628961,F+,true
3,59.21990606702837,F+,false
3,56.952288058250936,F,false
3,57.567713052438805,F+,false
4,59.317408005103744,F+,false
3,52.19021507285184,F-,true
3,53.066641945741274,F,true
3,57.12926471394647,F+,false
3,56.310340365901055,F,true
3,54.812185288638624,F,false
2,45.3353334245292,F-,false
2,41.33001532143397,F-,false
2,41.99731902252578,F-,false
2,43.080546346020796,F-,false
3,57.41639894708115,F+,false
4,65.82930698067226,D,false
4,65.11717462633537,D,false
3,56.908527657112785,F,false
2,42.900176864435245,F-,false
3,54.07252441585223,F,false
4,62.59652975145455,D-,true
4,65.0210545200197,D,true
3,58.16420181697881,F+,false
2,44.28007692385615,F-,false
3,57.04684271477578,F+,true
3,57.54145543953404,F+,false
4,66.16926096268159,D,false
3,59.99574554232686,F+,false
4,63.67492156314141,D,true
3,55.13533810300226,F,true
3,52.64884411473544,F-,false
2,42.57007080763191,F-,false
3,61.046869140103645,D-,false
3,61.573785730969334,D-,true
4,66.39192191479638,D,false
3,54.813488316404346,F,true
3,56.98235817903249,F,true
3,51.45144378761991,F-,false
2,42.30750290292426,F-,false
3,56.37923833910945,F,false
# num_agents: 25
# min_agents_per_group: 3
# max_agents_per_group: 4
group_count,group_payoff,step_grade,loafing_detected
3,53.31566385226832,F,true
3,49.27412589280178,F-,false
3,49.494643473646796,F-,true
3,56.61404146014465,F,false
3,58.5437900609602,F+,true
3,51.69137272602809,F-,false
2,46.002645379290904,F-,false
2,38.898205954084474,F-,false
2,45.5758327127555,F-,false
2,43.71953503234419,F-,false
2,43.7845316565741,F-,false
2,41.513593194285164,F-,false
2,41.744948577053265,F-,false
2,45.241103845631784,F-,false
2,42.6054589398444,F-,false
2,43.48636304564238,F-,false
2,42.43200180419356,F-,false
2,49.2349665539579,F-,false
2,48.495938578181345,F-,false
2,49.278992723853385,F-,false
3,56.88946813636571,F,false
3,56.39980739110653,F,false
3,55.655688705877026,F,false
2,43.136253317638115,F-,false
