# num_agents: 60
# min_agents_per_group: 3
# max_agents_per_group: 4
# letter_grades: true
# grading_error_alpha: 150.0
# grading_error_beta: 150.0
# agent_effort_alpha: 5.0
# agent_effort_beta: 3.0
# agent_std_effort: 0.01
# divorce_constant: 100.0
# agent_tolerance_alpha: 3.0
# agent_tolerance_beta: 5.0
# currseed: 1
group_count,group_payoff,step_grade,loafing_detected
3,61.257326968748195,D-,false
3,61.91971248756405,D-,false
4,61.61464320442461,D-,false
4,66.08833651225102,D,false
4,63.82607542948413,D,false
4,61.09573988606082,D-,true
4,62.995258802232044,D-,false
4,63.554326307465445,D,false
4,62.9402326360678,D-,false
4,66.30017441289027,D,true
4,64.09308240331548,D,false
3,60.89660305406203,D-,false
3,61.315694040655835,D-,false
3,62.57572701148023,D-,false
3,65.55274856035528,D,false
3,63.17492250750787,D,false
4,60.68761355947987,D-,false
4,70.94189305081584,C-,true
4,67.0912544445657,D+,false
3,69.25286359085071,D+,false
4,59.39072280291441,F+,true
4,62.875929768918446,D-,false
4,64.73601389723223,D,false
4,62.65061680862269,D-,false
4,61.3783031986508,D-,false
4,65.39310870052412,D,false
4,63.72303061345184,D,false
4,62.422830910278684,D-,false
4,65.3336384088792,D,false
4,65.69163140420684,D,false
4,63.89078878166462,D,false
4,60.28946756155622,D-,false
4,63.22435705589427,D,false
4,61.35610725164321,D-,false
4,59.88297088908382,F+,true
4,64.64567186904992,D,false
4,68.20371058853179,D+,false
4,63.97757672180413,D,false
4,61.198197386009454,D-,false
4,65.05112549483391,D,false
4,64.38203324160327,D,false
4,63.92558233351354,D,false
4,64.16826035838798,D,false
4,66.09202678058908,D,false
4,62.70157912586569,D-,false
4,63.36925407352063,D,false
4,68.59149002493855,D+,false
4,67.34098926472087,D+,false
4,65.58355496839468,D,false
4,66.86518884594379,D,false
4,65.57923342866368,D,false
4,64.72080637193932,D,false
4,64.59160210774088,D,false
4,66.95749983158719,D,false
4,64.91205897720613,D,false
4,61.74275850294669,D-,false
4,63.44512692600721,D,false
4,62.655955338224786,D-,false
4,65.55521011929824,D,false
4,63.17441377907007,D,false
4,67.1309175658373,D+,false
4,62.45709272922705,D-,false
4,63.22018231415716,D,false
4,66.22070994572053,D,false
4,65.06885858303656,D,false
4,64.69673939579383,D,false
4,63.2970666567643,D,false
4,60.98298692808968,D-,false
4,66.06281092943114,D,false
4,65.08282975820646,D,false
4,63.95601826034266,D,false
4,63.552129050930084,D,false
4,63.2318694163316,D,false
4,64.77342883810562,D,false
4,63.19616560049823,D,false
4,62.48614673742928,D-,false
4,64.53269408513424,D,false
4,63.35151371197907,D,false
4,64.42347841486948,D,false
4,64.13700359618922,D,false
4,68.06539634681235,D+,false
4,67.1919453547807,D+,false
4,62.84476176241763,D-,false
4,63.47994823337927,D,false
4,64.42612365669294,D,false
4,67.8015783823916,D+,false
4,60.921450624739435,D-,false
4,62.73437260889809,D-,false
4,64.66919598372004,D,false
4,64.22009858648357,D,false
4,67.12747654255554,D+,false
4,62.25113252210963,D-,false
4,62.946203561230064,D-,false
4,69.09824655864159,D+,false
4,64.11513652297324,D,false
4,65.33432891435115,D,false
4,64.30617686039177,D,false
4,67.30794790920048,D+,false
4,65.7103987396793,D,false
4,63.90677450971135,D,false
4,64.01508365464042,D,false
4,64.01993424451052,D,false
4,68.45566114579591,D+,false
4,64.42187936023875,D,false
4,67.6974333366255,D+,false
4,64.10321159717293,D,false
4,63.93462095853511,D,false
4,62.39939907772597,D-,false
4,68.01509508109406,D+,false
4,64.65980773046692,D,false
4,61.46733095985548,D-,false
4,68.49390726634871,D+,false
4,63.288830825025556,D,false
4,69.3471994583974,D+,false
4,62.940615105914155,D-,false
4,63.97226249734178,D,false
4,64.74476416827217,D,false
4,64.16687094671776,D,false
4,65.35753051612816,D,false
4,64.78389929559695,D,false
4,69.46669895131917,D+,false
4,64.24207049663397,D,false
4,65.2036894127043,D,false
4,63.547923971220875,D,false
4,65.02382827208672,D,false
4,65.75400457561013,D,false
4,65.36029942699214,D,false
4,61.95129528939156,D-,false
4,66.08734626938909,D,false
4,62.65978544619949,D-,false
4,67.80767407637865,D+,false
4,63.95120161888927,D,false
4,65.64391024660002,D,false
4,62.62237357917172,D-,false
4,62.12339491965627,D-,false
4,64.0477657301669,D,false
4,62.285479676953734,D-,false
4,65.62702906693457,D,false
4,65.33117203831527,D,false
4,61.335053417735054,D-,false
4,64.10139945857361,D,false
4,66.17683232518398,D,false
4,66.34127549771385,D,false
4,64.16499342704178,D,false
4,64.31863330533092,D,false
4,64.718612375196,D,false
4,66.41030939853549,D,false
4,66.09018757612792,D,false
4,66.1611053207565,D,false
4,61.94938772410325,D-,false
4,60.9479534823724,D-,false
4,66.89790637493593,D,false
4,66.11520739339723,D,false
4,65.66162857918984,D,false
4,64.5604802434382,D,false
4,61.60409148208438,D-,false
4,65.88627221269375,D,false
4,67.75978298108399,D+,false
4,65.14787019273568,D,false
4,67.80447507237511,D+,false
4,62.168460338520006,D-,false
4,66.25347073304447,D,false
4,65.94390940178914,D,false
4,64.8729000365319,D,false
4,63.35854438176685,D,false
4,65.11761493956905,D,false
4,68.04265202613131,D+,false
4,63.528662334716756,D,false
4,63.80245249548815,D,false
4,64.28565975957721,D,false
4,64.76073182821015,D,false
